time,x,y,button,pressed,abnormal
1734362833.7885392,292,538,Button.left,True,False
1734362833.9001963,292,538,Button.left,False,False
1734362834.012575,289,517,Button.left,True,False
1734362834.1242738,289,517,Button.left,False,False
1734362834.2117665,290,514,Button.left,True,False
1734362834.3161776,290,514,Button.left,False,False
1734362834.4017985,290,513,Button.left,True,False
1734362834.476547,290,513,Button.left,False,False
1734362834.5561025,290,513,Button.left,True,False
1734362834.6600754,290,513,Button.left,False,False
1734362835.1397307,1803,449,Button.left,True,False
1734362835.2041783,1803,449,Button.left,False,False
1734362835.4924748,1741,450,Button.left,True,False
1734362835.572224,1741,450,Button.left,False,False
1734362835.8404095,1716,450,Button.left,True,False
1734362835.910646,1716,450,Button.left,False,False
1734362836.404185,259,487,Button.left,True,False
1734362836.4924045,259,487,Button.left,False,False
1734362836.5803764,259,487,Button.left,True,False
1734362836.6839876,268,519,Button.left,False,False
1734362836.7803717,268,519,Button.left,True,False
1734362836.860228,269,527,Button.left,False,False
1734362836.9570637,276,554,Button.left,True,False
1734362837.074037,280,578,Button.left,False,False
1734362837.1604552,284,584,Button.left,True,False
1734362837.2742286,298,593,Button.left,False,False
1734362837.380199,310,597,Button.left,True,False
1734362837.4846842,323,559,Button.left,False,False
1734362837.5804713,330,538,Button.left,True,False
1734362837.6681948,332,532,Button.left,False,False
1734362837.7801926,336,500,Button.left,True,False
1734362837.905382,336,487,Button.left,False,False
1734362838.0107665,334,472,Button.left,True,False
1734362838.0917594,328,462,Button.left,False,False
1734362838.2039702,313,444,Button.left,True,False
1734362838.3002505,292,444,Button.left,False,False
1734362838.4105833,252,447,Button.left,True,False
1734362838.4844828,236,458,Button.left,False,False
1734362838.595865,216,472,Button.left,True,False
1734362838.6805024,202,493,Button.left,False,False
1734362838.7884285,193,515,Button.left,True,False
1734362838.8682563,193,538,Button.left,False,False
1734362838.97237,211,566,Button.left,True,False
1734362839.0685482,244,586,Button.left,False,False
1734362839.1721578,277,587,Button.left,True,False
1734362839.2681592,285,587,Button.left,False,False
1734362839.3721738,301,581,Button.left,True,False
1734362839.4845836,310,572,Button.left,False,False
1734362839.5965457,316,561,Button.left,True,False
1734362839.6910055,320,556,Button.left,False,False
1734362839.7960749,332,522,Button.left,True,False
1734362839.9044182,332,509,Button.left,False,False
1734362840.0104902,316,485,Button.left,True,False
1734362840.1084764,306,476,Button.left,False,False
1734362840.2028944,256,455,Button.left,True,False
1734362840.3081899,214,468,Button.left,False,False
1734362840.4117517,165,504,Button.left,True,False
1734362840.5001884,184,546,Button.left,False,False
1734362840.6105394,231,560,Button.left,True,False
1734362840.700326,248,572,Button.left,False,False
1734362840.8037217,303,576,Button.left,True,False
1734362840.900409,309,562,Button.left,False,False
1734362841.003714,316,517,Button.left,True,False
1734362841.1167452,312,511,Button.left,False,False
1734362841.222751,284,470,Button.left,True,False
1734362841.3404276,284,470,Button.left,False,False
1734362841.4405956,243,463,Button.left,True,False
1734362841.5213735,223,492,Button.left,False,False
1734362841.6405003,222,513,Button.left,True,False
1734362841.7406602,235,549,Button.left,False,False
1734362841.8404434,258,564,Button.left,True,False
1734362841.9558413,276,566,Button.left,False,False
1734362842.0602384,288,566,Button.left,True,False
1734362842.1404672,290,566,Button.left,False,False
1734362842.25182,300,558,Button.left,True,False
1734362842.3637764,317,539,Button.left,False,False
1734362842.4840841,323,512,Button.left,True,False
1734362842.6204886,301,495,Button.left,False,False
1734362842.7238772,264,482,Button.left,True,False
1734362842.8206341,261,482,Button.left,False,False
1734362842.971825,294,451,Button.left,True,False
1734362843.092267,334,451,Button.left,False,False
1734362843.1884344,389,457,Button.left,True,False
1734362843.2903543,390,482,Button.left,False,False
1734362843.4005022,390,516,Button.left,True,False
1734362843.4927921,376,547,Button.left,False,False
1734362843.6103857,352,580,Button.left,True,False
1734362843.7006507,336,592,Button.left,False,False
1734362843.8112748,295,592,Button.left,True,False
1734362843.9085133,282,592,Button.left,False,False
1734362844.0108,241,584,Button.left,True,False
1734362844.1005917,230,578,Button.left,False,False
1734362844.220487,204,543,Button.left,True,False
1734362844.332069,195,535,Button.left,False,False
1734362844.4358313,174,501,Button.left,True,False
1734362844.563366,174,501,Button.left,False,False
1734362844.7002945,222,520,Button.left,True,False
1734362844.8113036,247,526,Button.left,False,False
1734362844.915132,268,526,Button.left,True,False
1734362845.0127218,274,527,Button.left,False,False
1734362845.1484349,279,489,Button.left,True,False
1734362845.2651796,283,472,Button.left,False,False
1734362845.3710268,305,444,Button.left,True,False
1734362845.4842536,326,454,Button.left,False,False
1734362845.580366,353,477,Button.left,True,False
1734362845.6906705,354,496,Button.left,False,False
1734362845.7957509,351,517,Button.left,True,False
1734362845.9002523,350,535,Button.left,False,False
1734362845.996127,337,547,Button.left,True,False
1734362846.101585,314,551,Button.left,False,False
1734362846.188542,306,548,Button.left,True,False
1734362846.2602725,305,546,Button.left,False,False
1734362846.800371,1735,431,Button.left,True,False
1734362846.8815224,1735,431,Button.left,False,False
1734362847.1976354,1727,454,Button.left,True,False
1734362847.2843482,1727,454,Button.left,False,False
1734362847.9555829,381,508,Button.left,True,False
1734362848.0209346,381,508,Button.left,False,False
1734362848.1481915,361,550,Button.left,True,False
1734362848.2526145,361,570,Button.left,False,False
1734362848.3447433,347,596,Button.left,True,False
1734362848.444095,323,607,Button.left,False,False
1734362848.5474901,288,609,Button.left,True,False
1734362848.630432,274,592,Button.left,False,False
1734362848.7404037,241,555,Button.left,True,False
1734362848.830454,238,531,Button.left,False,False
1734362848.9958966,237,475,Button.left,True,False
1734362849.092736,253,458,Button.left,False,False
1734362849.1947296,292,433,Button.left,True,False
1734362849.3119533,351,442,Button.left,False,False
1734362849.42837,386,477,Button.left,True,False
1734362849.5317876,386,491,Button.left,False,False
1734362849.6288424,370,539,Button.left,True,False
1734362849.7323976,358,557,Button.left,False,False
1734362849.8344235,318,577,Button.left,True,False
1734362849.9561946,283,580,Button.left,False,False
1734362850.0684562,231,565,Button.left,True,False
1734362850.1566098,225,557,Button.left,False,False
1734362850.2525005,226,530,Button.left,True,False
1734362850.3725805,282,513,Button.left,False,False
1734362850.4592216,302,509,Button.left,True,False
1734362850.556298,321,502,Button.left,False,False
1734362850.6683123,347,484,Button.left,True,False
1734362850.755792,347,473,Button.left,False,False
1734362850.8607626,332,428,Button.left,True,False
1734362850.9563866,328,427,Button.left,False,False
1734362851.0759122,295,424,Button.left,True,False
1734362851.1806881,274,446,Button.left,False,False
1734362851.300647,239,469,Button.left,True,False
1734362851.388449,218,495,Button.left,False,False
1734362851.4839375,212,503,Button.left,True,False
1734362851.5804203,211,526,Button.left,False,False
1734362851.6753333,213,537,Button.left,True,False
1734362851.7801943,224,561,Button.left,False,False
1734362851.8765461,240,572,Button.left,True,False
1734362851.9708238,274,585,Button.left,False,False
1734362852.0807052,313,585,Button.left,True,False
1734362852.1802197,341,559,Button.left,False,False
1734362852.2914648,358,541,Button.left,True,False
1734362852.3964841,360,524,Button.left,False,False
1734362852.5081658,360,485,Button.left,True,False
1734362852.6305358,356,481,Button.left,False,False
1734362852.7478087,288,472,Button.left,True,False
1734362852.8446734,282,477,Button.left,False,False
1734362852.9804294,271,514,Button.left,True,False
1734362853.0683086,273,529,Button.left,False,False
1734362853.1717517,282,537,Button.left,True,False
1734362853.2764497,312,556,Button.left,False,False
1734362853.3803148,323,556,Button.left,True,False
1734362853.4904437,338,526,Button.left,False,False
1734362853.6038868,341,509,Button.left,True,False
1734362853.6924064,343,501,Button.left,False,False
1734362853.8203182,333,447,Button.left,True,False
1734362853.9164848,319,447,Button.left,False,False
1734362854.0358768,281,462,Button.left,True,False
1734362854.1402528,277,477,Button.left,False,False
1734362854.2837174,279,517,Button.left,True,False
1734362854.3885043,288,530,Button.left,False,False
1734362854.5081964,305,535,Button.left,True,False
1734362854.6120048,321,536,Button.left,False,False
1734362854.730987,354,525,Button.left,True,False
1734362854.8362556,355,510,Button.left,False,False
1734362854.9607346,365,468,Button.left,True,False
1734362855.0505128,365,466,Button.left,False,False
1734362855.1879344,321,451,Button.left,True,False
1734362855.299131,301,466,Button.left,False,False
1734362855.403876,289,495,Button.left,True,False
1734362855.508476,288,519,Button.left,False,False
1734362855.6190374,293,534,Button.left,True,False
1734362855.7227125,309,543,Button.left,False,False
1734362855.8360472,340,549,Button.left,True,False
1734362855.93254,346,542,Button.left,False,False
1734362856.0404065,351,515,Button.left,True,False
1734362856.1327415,352,512,Button.left,False,False
1734362856.244517,336,484,Button.left,True,False
1734362856.3407066,332,484,Button.left,False,False
1734362856.4767652,281,505,Button.left,True,False
1734362856.6223853,276,526,Button.left,False,False
1734362856.7536297,279,544,Button.left,True,False
1734362856.8405948,309,565,Button.left,False,False
1734362856.9407048,325,570,Button.left,True,False
1734362857.0410066,338,562,Button.left,False,False
1734362857.1604311,352,535,Button.left,True,False
1734362857.2707002,353,511,Button.left,False,False
1734362857.3908107,339,482,Button.left,True,False
1734362857.5087414,299,481,Button.left,False,False
1734362857.628639,279,478,Button.left,True,False
1734362857.7322125,260,499,Button.left,False,False
1734362857.8518734,259,517,Button.left,True,False
1734362857.94064,261,532,Button.left,False,False
1734362858.068614,273,542,Button.left,True,False
1734362858.1604106,289,550,Button.left,False,False
1734362858.2905066,316,551,Button.left,True,False
1734362858.4044628,326,525,Button.left,False,False
1734362858.5085328,326,519,Button.left,True,False
1734362858.602401,326,518,Button.left,False,False
